Rank,User Name,Display Name,Department,Identity Type,Platforms,Risk Score,Severity,Detected Risks,days_since_last_login,direct_groups,all_effective_groups,inherited_via,AWS_api_key_age
54,alfred.galvan,Alfred Galvan,IT,Employee,"Active Directory, AWS IAM, Okta",50.0,High,"Dormant Admin, Cross-Platform Admin",211,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,29.0
55,robert.stevens,Robert Stevens,IT,Employee,Okta,50.0,High,"Offboarding Gap, Hidden Admin",80,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,192.0
56,svc-none-prod,svc-none-prod,IT,Service Account,"Active Directory, AWS IAM",50.0,High,"Dormant Admin, Cross-Platform Admin",330,GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,,17.0
57,svc-stock-test,svc-stock-test,IT,Service Account,"Active Directory, AWS IAM",45.0,High,"Dormant Admin, Hidden Admin",226,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,43.0
58,svc-eye-dev,svc-eye-dev,IT,Service Account,"Active Directory, AWS IAM",45.0,High,"Privilege Spike, Hidden Admin",67,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,148.0
59,cheryl.ortega,Cheryl Ortega,IT,Employee,"Active Directory, AWS IAM, Okta",45.0,High,"Dormant Admin, Hidden Admin",92,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,30.0
60,svc-live-dev,svc-live-dev,IT,Service Account,"Active Directory, AWS IAM",45.0,High,"Dormant Admin, Hidden Admin",274,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,110.0
61,svc-wait-test,svc-wait-test,IT,Service Account,"Active Directory, AWS IAM",45.0,High,"Dormant Admin, Hidden Admin",164,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,185.0
62,svc-leader-test,svc-leader-test,IT,Service Account,"Active Directory, AWS IAM",45.0,High,"Dormant Admin, Hidden Admin",185,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,4.0
63,henry.garner,Henry Garner,External,Contractor,Okta,40.0,High,Offboarding Gap,364,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,36.0
64,micheal.parks,Micheal Parks,External,Contractor,"AWS IAM, Okta",40.0,High,Offboarding Gap,290,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,29.0
65,rebekah.greene,Rebekah Greene,External,Contractor,AWS IAM,40.0,High,Offboarding Gap,213,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,126.0
66,stephanie.evans,Stephanie Evans,External,Contractor,"AWS IAM, Okta",40.0,High,Offboarding Gap,162,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,92.0
67,samantha.robertson,Samantha Robertson,External,Contractor,AWS IAM,40.0,High,Offboarding Gap,234,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,88.0
68,danielle.bryant,Danielle Bryant,External,Contractor,AWS IAM,40.0,High,Offboarding Gap,332,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,43.0
69,alicia.roth,Alicia Roth,External,Contractor,AWS IAM,40.0,High,Offboarding Gap,347,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,85.0
70,jeremy.mcintyre,Jeremy Mcintyre,External,Contractor,Okta,40.0,High,Offboarding Gap,248,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,7.0
71,nathan.stewart,Nathan Stewart,Sales,Employee,AWS IAM,40.0,High,Offboarding Gap,21,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,167.0
72,veronica.wall,Veronica Wall,Engineering,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,132,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,,56.0
73,ashley.mendoza,Ashley Mendoza,External,Contractor,Okta,40.0,High,Offboarding Gap,279,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,20.0
74,kenneth.larsen,Kenneth Larsen,External,Contractor,"AWS IAM, Okta",40.0,High,Offboarding Gap,195,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,170.0
75,matthew.greene,Matthew Greene,External,Contractor,"AWS IAM, Okta",40.0,High,Offboarding Gap,47,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,82.0
76,beth.henderson,Beth Henderson,External,Contractor,Okta,40.0,High,Offboarding Gap,150,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,82.0
77,james.nash,James Nash,External,Contractor,"AWS IAM, Okta",40.0,High,Offboarding Gap,156,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,86.0
78,rhonda.gutierrez,Rhonda Gutierrez,External,Contractor,Okta,40.0,High,Offboarding Gap,72,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,127.0
79,benjamin.ayala,Benjamin Ayala,HR,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,171,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,189.0
80,robert.hines,Robert Hines,External,Contractor,Okta,40.0,High,Offboarding Gap,17,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,23.0
81,daniel.steele,Daniel Steele,External,Contractor,Okta,40.0,High,Offboarding Gap,125,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,21.0
82,jacqueline.mcmahon,Jacqueline Mcmahon,Legal,Employee,Okta,40.0,High,Offboarding Gap,71,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,106.0
83,evan.lamb,Evan Lamb,External,Contractor,Okta,40.0,High,Offboarding Gap,55,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,46.0
84,nancy.stewart,Nancy Stewart,Sales,Employee,Okta,40.0,High,Offboarding Gap,345,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,198.0
85,aimee.gonzalez,Aimee Gonzalez,Sales,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,115,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,77.0
86,david.garcia,David Garcia,Finance,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,30,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,,79.0
87,frank.lopez,Frank Lopez,Engineering,Employee,Okta,40.0,High,Offboarding Gap,59,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,,19.0
88,kirk.griffin,Kirk Griffin,IT,Employee,"Active Directory, AWS IAM, Okta",40.0,High,"Token Abuse, Dormant Admin, Cross-Platform Admin",151,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,570.0
89,wyatt.young,Wyatt Young,HR,Employee,Okta,40.0,High,Offboarding Gap,130,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,49.0
90,erin.hogan,Erin Hogan,IT,Employee,"Active Directory, AWS IAM, Okta",40.0,High,"Token Abuse, Dormant Admin, Cross-Platform Admin",131,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,654.0
91,rhonda.brown,Rhonda Brown,HR,Employee,AWS IAM,40.0,High,Offboarding Gap,72,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,82.0
92,greg.martinez,Greg Martinez,Sales,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,146,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,140.0
93,alexis.rogers,Alexis Rogers,Legal,Employee,Okta,40.0,High,Offboarding Gap,43,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,132.0
94,ryan.peck,Ryan Peck,HR,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,120,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,115.0
95,kathryn.jackson,Kathryn Jackson,HR,Employee,Okta,40.0,High,Offboarding Gap,361,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,172.0
96,jared.shaw,Jared Shaw,HR,Employee,AWS IAM,40.0,High,Offboarding Gap,71,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,121.0
97,mrs..reyes,Mrs. Diane Reyes,Sales,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,233,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,165.0
98,kaylee.hays,Kaylee Hays,Engineering,Employee,AWS IAM,40.0,High,Offboarding Gap,131,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,,176.0
99,michael.ritter,Michael Ritter,Finance,Employee,AWS IAM,40.0,High,Offboarding Gap,116,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,,143.0
100,svc-understand-prod,svc-understand-prod,IT,Service Account,"Active Directory, AWS IAM",40.0,High,"Token Abuse, Dormant Admin, Cross-Platform Admin",130,GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,,620.0
101,austin.gentry,Austin Gentry,HR,Employee,Okta,40.0,High,Offboarding Gap,66,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,195.0
102,allison.hill,Allison Hill,Legal,Employee,"AWS IAM, Okta",40.0,High,Offboarding Gap,79,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,29.0
103,svc-fund-dev,svc-fund-dev,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",118,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,133.0
104,svc-sometimes-prod,svc-sometimes-prod,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",284,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,142.0
105,svc-these-prod,svc-these-prod,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",150,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,63.0
106,svc-international-dev,svc-international-dev,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Privilege Spike, Cross-Platform Admin",43,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,103.0
107,svc-me-dev,svc-me-dev,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",237,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,112.0
108,madison.martinez,Madison Martinez,External,Contractor,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,119,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,110.0
109,paula.moreno,Paula Moreno,HR,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,37,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,125.0
110,svc-might-test,svc-might-test,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",189,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,199.0
111,mike.maxwell,Mike Maxwell,External,Contractor,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,128,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,64.0
112,svc-above-dev,svc-above-dev,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",245,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,118.0
113,svc-sort-test,svc-sort-test,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",146,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,110.0
114,omar.ware,Omar Ware,Finance,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,20,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,,12.0
